backend,knot_points,sqp_budget_us,test_iters,tol_index,pcg_exit_tol,linsys_time_us
hip-nvidia,128,5000,1,2,0.0001,274.433
hip-nvidia,128,5000,1,2,0.0001,382.176
hip-nvidia,128,5000,1,2,0.0001,235.044
hip-nvidia,128,5000,1,2,0.0001,296.216
hip-nvidia,128,5000,1,2,0.0001,174.134
hip-nvidia,128,5000,1,2,0.0001,212.849
hip-nvidia,128,5000,1,2,0.0001,255.167
hip-nvidia,128,5000,1,2,0.0001,462.177
hip-nvidia,128,5000,1,2,0.0001,271.447
hip-nvidia,128,5000,1,2,0.0001,257.805
hip-nvidia,128,5000,1,2,0.0001,320.972
hip-nvidia,128,5000,1,2,0.0001,240.667
hip-nvidia,128,5000,1,2,0.0001,316.685
hip-nvidia,128,5000,1,2,0.0001,287.109
hip-nvidia,128,5000,1,2,0.0001,553.152
hip-nvidia,128,5000,1,2,0.0001,242.892
hip-nvidia,128,5000,1,2,0.0001,332.51
hip-nvidia,128,5000,1,2,0.0001,306.277
hip-nvidia,128,5000,1,2,0.0001,849.606
hip-nvidia,128,5000,1,2,0.0001,498.309
hip-nvidia,128,5000,1,2,0.0001,177.391
hip-nvidia,128,5000,1,2,0.0001,237.911
hip-nvidia,128,5000,1,2,0.0001,922.683
hip-nvidia,128,5000,1,2,0.0001,956.709
hip-nvidia,128,5000,1,2,0.0001,538.522
hip-nvidia,128,5000,1,2,0.0001,187.56
hip-nvidia,128,5000,1,2,0.0001,921.5
hip-nvidia,128,5000,1,2,0.0001,1124.06
hip-nvidia,128,5000,1,2,0.0001,1353.58
hip-nvidia,128,5000,1,2,0.0001,719.233
hip-nvidia,128,5000,1,2,0.0001,1123.41
hip-nvidia,128,5000,1,2,0.0001,628.823
hip-nvidia,128,5000,1,2,0.0001,1345.39
hip-nvidia,128,5000,1,2,0.0001,1240.36
hip-nvidia,128,5000,1,2,0.0001,1179.11
hip-nvidia,128,5000,1,2,0.0001,1247.88
hip-nvidia,128,5000,1,2,0.0001,1156.81
hip-nvidia,128,5000,1,2,0.0001,932.668
hip-nvidia,128,5000,1,2,0.0001,489.355
hip-nvidia,128,5000,1,2,0.0001,350.636
hip-nvidia,128,5000,1,2,0.0001,669.502
hip-nvidia,128,5000,1,2,0.0001,274.4
hip-nvidia,128,5000,1,2,0.0001,1149.32
hip-nvidia,128,5000,1,2,0.0001,377.226
hip-nvidia,128,5000,1,2,0.0001,1244.36
hip-nvidia,128,5000,1,2,0.0001,302.099
hip-nvidia,128,5000,1,2,0.0001,1205.48
hip-nvidia,128,5000,1,2,0.0001,355.27
hip-nvidia,128,5000,1,2,0.0001,1152.85
hip-nvidia,128,5000,1,2,0.0001,660.515
hip-nvidia,128,5000,1,2,0.0001,1231.25
hip-nvidia,128,5000,1,2,0.0001,740.68
hip-nvidia,128,5000,1,2,0.0001,1158.14
hip-nvidia,128,5000,1,2,0.0001,1159.78
hip-nvidia,128,5000,1,2,0.0001,1164.07
hip-nvidia,128,5000,1,2,0.0001,1209.82
hip-nvidia,128,5000,1,2,0.0001,1264.23
hip-nvidia,128,5000,1,2,0.0001,1245.56
hip-nvidia,128,5000,1,2,0.0001,1169.01
hip-nvidia,128,5000,1,2,0.0001,1183.61
hip-nvidia,128,5000,1,2,0.0001,1234.26
hip-nvidia,128,5000,1,2,0.0001,1164.18
hip-nvidia,128,5000,1,2,0.0001,1249.14
hip-nvidia,128,5000,1,2,0.0001,2013.58
hip-nvidia,128,5000,1,2,0.0001,772.036
hip-nvidia,128,5000,1,2,0.0001,273.032
hip-nvidia,128,5000,1,2,0.0001,1016.19
hip-nvidia,128,5000,1,2,0.0001,693.38
hip-nvidia,128,5000,1,2,0.0001,440.709
hip-nvidia,128,5000,1,2,0.0001,1248.97
hip-nvidia,128,5000,1,2,0.0001,275.963
hip-nvidia,128,5000,1,2,0.0001,1559.73
hip-nvidia,128,5000,1,2,0.0001,699.176
hip-nvidia,128,5000,1,2,0.0001,1014.28
hip-nvidia,128,5000,1,2,0.0001,247.895
hip-nvidia,128,5000,1,2,0.0001,943.511
hip-nvidia,128,5000,1,2,0.0001,1016.35
hip-nvidia,128,5000,1,2,0.0001,1077.56
hip-nvidia,128,5000,1,2,0.0001,1076.21
